14:14:40. INFO  manager.ApplicationManager - All tests starts in Chrome browser
14:14:41. INFO  manager.ApplicationManager - Link ------->https://contacts-app.tobbymarshall815.vercel.app/login
14:14:42. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
14:15:02. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
14:15:02. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[text()='LOGIN']
14:15:02. INFO  manager.MyListener - The element with locator --->By.xpath: //a[text()='LOGIN']was found
14:15:02. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[1]
14:15:02. INFO  manager.MyListener - The element with locator --->By.xpath: //input[1]was found
14:15:02. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[2]
14:15:02. INFO  manager.MyListener - The element with locator --->By.xpath: //input[2]was found
14:15:02. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[1]
14:15:02. INFO  manager.MyListener - The element with locator --->By.xpath: //button[1]was found
14:15:02. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
14:15:03. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
14:15:03. INFO  tests.TestBase - The test 'Add new contact' starts with count of contact---->24
14:15:03. INFO  tests.TestBase - The test 'Add new contact' starts with data ---->Contact{name='Mona', lastName='Dow', email='1mona@gmail.com', phone='3214598760', address='Haifa', description='friend'}
14:15:03. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [href='/add']
14:15:03. INFO  manager.MyListener - The element with locator --->By.cssSelector: [href='/add']was found
14:15:03. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Name']
14:15:03. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Name']was found
14:15:03. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Last Name']
14:15:03. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Last Name']was found
14:15:03. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Phone']
14:15:03. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Phone']was found
14:15:04. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='email']
14:15:04. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='email']was found
14:15:04. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Address']
14:15:04. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Address']was found
14:15:04. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='description']
14:15:04. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='description']was found
14:15:04. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .add_form__2rsm2 button
14:15:04. INFO  manager.MyListener - The element with locator --->By.cssSelector: .add_form__2rsm2 buttonwas found
14:15:04. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
14:15:05. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
14:15:05. INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->25
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
14:15:07. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h3
14:15:07. INFO  manager.MyListener - The element with locator --->By.cssSelector: h3was found
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
14:15:07. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
14:15:07. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
14:15:07. INFO  tests.TestBase - The test 'Add new contact' starts with count of contact---->25
14:15:07. INFO  tests.TestBase - The test 'Add new contact' starts with data ---->Contact{name='Mona', lastName='Dow', email='mona1@gmail.com', phone='3214598764', address='Haifa', description='friend'}
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [href='/add']
14:15:07. INFO  manager.MyListener - The element with locator --->By.cssSelector: [href='/add']was found
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Name']
14:15:07. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Name']was found
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Last Name']
14:15:07. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Last Name']was found
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Phone']
14:15:07. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Phone']was found
14:15:07. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='email']
14:15:07. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='email']was found
14:15:08. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Address']
14:15:08. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Address']was found
14:15:08. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='description']
14:15:08. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='description']was found
14:15:08. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .add_form__2rsm2 button
14:15:08. INFO  manager.MyListener - The element with locator --->By.cssSelector: .add_form__2rsm2 buttonwas found
14:15:08. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
14:15:08. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
14:15:08. INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->26
14:15:10. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
14:15:10. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
14:15:10. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h3
14:15:10. INFO  manager.MyListener - The element with locator --->By.cssSelector: h3was found
