18:56:11. INFO  manager.ApplicationManager - All tests starts in 'Chrome' browser
18:56:12. INFO  manager.ApplicationManager - Link ------->https://contacts-app.tobbymarshall815.vercel.app/login
18:56:12. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
18:56:32. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
18:56:32. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[text()='LOGIN']
18:56:32. INFO  manager.MyListener - The element with locator --->By.xpath: //a[text()='LOGIN']was found
18:56:32. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[1]
18:56:32. INFO  manager.MyListener - The element with locator --->By.xpath: //input[1]was found
18:56:33. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[2]
18:56:33. INFO  manager.MyListener - The element with locator --->By.xpath: //input[2]was found
18:56:33. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[2]
18:56:33. INFO  manager.MyListener - The element with locator --->By.xpath: //button[2]was found
18:56:33. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
18:56:46. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
18:56:46. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
18:56:46. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
18:56:46. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
18:56:46. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
18:56:46. INFO  tests.TestBase - User{email='noa@gmail.com', password='Nnoa12345$'}
18:56:46. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[text()='LOGIN']
18:56:46. INFO  manager.MyListener - The element with locator --->By.xpath: //a[text()='LOGIN']was found
18:56:46. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[1]
18:56:46. INFO  manager.MyListener - The element with locator --->By.xpath: //input[1]was found
18:56:46. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[2]
18:56:46. INFO  manager.MyListener - The element with locator --->By.xpath: //input[2]was found
18:56:46. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[1]
18:56:46. INFO  manager.MyListener - The element with locator --->By.xpath: //button[1]was found
18:56:52. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
18:56:52. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
